id;Tbf;Taf;raw.decrease;norm.decrease;normEBS.decrease;het.decrease;plateau_slope;maxfluo;well_pcr;sample;calib;pop;generation;ratio;plate_qpcr_id;mix;pop_id;predicted_freq
plate1#A1;74.42;84.48;0.22422726199451;0.138416760995118;0.176182856920697;4.79389308261562;0;9.72302357096445;A1;G8-Z19;NA;Z19;8;NA;plate1;C;C03;0.477949953569906
plate1#A10;74.84;83.85;0.285153507364324;0.204606181726841;0.255257469518319;7.19017637181448;0.000554461535075927;6.98684724711779;A10;G1-Z25;NA;Z25;1;NA;plate1;A;A04;0.591218487888625
plate1#A11;73.2;83.68;0.300159666451053;0.202347256994912;0.267485130396855;7.9799437865142;0;7.17073016919518;A11;G8-Z24;NA;Z24;8;NA;plate1;H;H03;0.607739931767027
plate1#A13;74.97;83.66;0.309844488383357;0.221811866325125;0.278726372486451;6.30241085659016;0.0109122934351684;7.50415445632405;A13;G1-Z01;NA;Z01;1;NA;plate1;A;A01;0.622586363748808
plate1#A14;73.23;83.8;0.300904848643512;0.206082575180051;0.266885374632391;5.69364932322977;0.00142827240192498;7.08519573678033;A14;G4-Z22;NA;Z22;4;NA;plate1;F;F03;0.606937906001153
plate1#A15;74.84;83.85;0.378687082730186;0.297655076526573;0.356245878135215;6.77941416552519;0.00224556942427498;7.32174313980785;A15;G8-Z02;NA;Z02;8;NA;plate1;B;B01;0.710068601492838
plate1#A16;74.5;83.6;0.398286830854578;0.324312336444846;0.374574233488102;8.34131348257274;0.00992502670542866;6.42255095548857;A16;G8-Z18;NA;Z18;8;NA;plate1;B;B03;0.725335891429337
plate1#A17;74.76;83.74;0.352132088071955;0.279163688384462;0.327660237147319;8.1356337266594;0.00149480279217492;7.10453652055004;A17;G4-Z26;NA;Z26;4;NA;plate1;B;B04;0.681561566495698
plate1#A18;74.87;83.85;0.259854634742934;0.174533167712472;0.226825878131697;5.56588878102495;0.00681942336503437;7.26140311611093;A18;G8-Z07;NA;Z07;8;NA;plate1;G;G01;0.551819324493068
plate1#A19;74.84;83.74;0.36989480456428;0.29498066301892;0.346924205160173;7.64678737212697;0.00353221373109416;7.33272319913068;A19;G8-Z01;NA;Z01;8;NA;plate1;A;A01;0.701359555350161
plate1#A2;74.56;83.8;0.302705333623297;0.217357776624655;0.272757622193979;8.7700832778475;0.0165076991653628;8.0628300303694;A2;G1-Z13;NA;Z13;1;NA;plate1;E;E02;0.614748925015073
plate1#A20;74.87;83.85;0.33384739345901;0.240718087722954;0.301698488902342;5.88588845091436;0.013253063386077;7.04340794325558;A20;G4-Z29;NA;Z29;4;NA;plate1;E;E04;0.651592628124627
plate1#A21;75;83.85;0.315886869088074;0.23660643807979;0.298309833609485;9.56509282128546;0.00744897828817462;6.41923646402143;A21;D;NA;D;0;NA;plate1;D;D;0.647444023798372
plate1#A22;74.87;84.42;0.238414325371687;0.160716308746631;NA;NA;0.00665168554143249;6.50779992952177;A22;G4-Z08;NA;Z08;4;NA;plate1;H;H01;NA
plate1#A23;74.79;84.3;0.292284455775747;0.203046690136994;NA;NA;0.0261953479030095;6.68692007558621;A23;G1-Z23;NA;Z23;1;NA;plate1;G;G03;NA
plate1#A24;74.84;84.42;0.222829907007687;0.150031977178324;0.199064451679465;5.51411658496338;0.00544339572442139;6.30568497007277;A24;G4-Z19;NA;Z19;4;NA;plate1;C;C03;0.512557891153699
plate1#A4;74.5;83.74;0.372581974488101;0.303673674829101;0.34997231998749;7.31846543310497;0.00909560182915089;6.32744564697659;A4;G8-Z10;NA;Z10;8;NA;plate1;B;B02;0.704273522271272
plate1#A5;74.29;83.85;0.330869706196974;0.24176643627083;0.298945083835102;6.66029358354965;0.00596890636829387;8.25930927089055;A5;G4-Z29;NA;Z29;4;NA;plate1;E;E04;0.648225471572851
plate1#A6;74.27;83.8;0.251438326125001;0.170349247829383;0.215956715338839;5.97884296584208;0.0105286243258813;7.4058087837087;A6;G8-Z27;NA;Z27;8;NA;plate1;C;C04;0.536577022503085
plate1#A7;74.27;83.66;0.302352759657628;0.217403387872651;0.26531164319484;7.11166142423222;0;7.22742780243598;A7;G8-Z31;NA;Z31;8;NA;plate1;G;G04;0.604829043136643
plate1#A8;74.6;83.8;0.216022783503134;0.117745797742218;0.173738129115712;6.20862597955961;0.00630211104885937;6.84664251966362;A8;G1-Z11;NA;Z11;1;NA;plate1;C;C02;0.474022722864165
plate1#A9;73.57;83.85;0.373081282518278;0.310419182194314;0.353498988369286;8.25646628946329;0;7.38457474509777;A9;G4-Z02;NA;Z02;4;NA;plate1;B;B01;0.707565286768064
