id;Tbf;Taf;raw.decrease;norm.decrease;normEBS.decrease;het.decrease;maxfluo;well_pcr;sample;calib;pop;generation;ratio;plate_qpcr_id;competition;experiment_batch;setup;predicted_freq
plate1#A13;78.53;85.19;0;0;0;0;7.75893699597225;A13;G3-N01;NA;N01;3;NA;plate1;V5;DW;1;0.07148395609364
plate1#A14;77.2;84.07;1;1;1;0;7.15363824313072;A14;5-100%;calib;5-100%;NA;100%;plate1;V5;NA;NA;1.00001390472069
plate1#A5;78.9;85.57;0;0;0;0;6.8397156876524;A5;G6-N05;NA;N05;6;NA;plate1;V5;RA;5&6;0.07148395609364
plate1#B17;78.62;85.54;0.0915363685138638;0.00790467893139588;0.0365527242921673;0;6.86137494198825;B17;5-25%;calib;5-25%;NA;25%;plate1;V5;NA;NA;0.275514272225249
plate1#B19;78.38;85.51;0.123078345319196;0.0155836062381575;0.0594346977728925;0;6.58683530701429;B19;G6-Z02;NA;Z02;6;NA;plate1;V5;DW;2;0.382567865740791
plate1#B20;77.2;85.51;0.179502042849887;0.0359776278147269;0.108092266579838;0;6.9392680615747;B20;5-50%;calib;5-50%;NA;50%;plate1;V5;NA;NA;0.529724329332498
plate1#B24;80.46;85.69;0;0;0;0;6.13754428164334;B24;G6-N03;NA;N03;6;NA;plate1;V5;VFP;3;0.07148395609364
plate1#C11;80.06;85.22;0;0;0;0;6.98062078969271;C11;3;NA;3;0;NA;plate1;V5;VFP;3;0.07148395609364
plate1#C18;80.18;85.51;0;0;0;0;6.9736999995081;C18;G3-N01;NA;N01;3;NA;plate1;V5;DW;1;0.07148395609364
plate1#C21;79.02;85.66;0;0;0;0;6.99299249317732;C21;2;NA;2;0;NA;plate1;V5;DW;2;0.07148395609364
plate1#C23;78.88;85.66;0;0;0;0;6.81943483841068;C23;5-0%;calib;5-0%;NA;0%;plate1;V5;NA;NA;0.07148395609364
plate1#C3;80.12;85.45;0;0;0;0;7.72872254040322;C3;G1-N04;NA;N04;1;NA;plate1;V5;VFP;4;0.07148395609364
plate1#D1;77.64;85.51;0.089060073321395;0.0107743753442561;0.0347989708695249;0;8.07768224339718;D1;G1-N06;NA;N06;1;NA;plate1;V5;RA;5&6;0.266352005574337
plate1#D12;77.01;85.19;0.185461725598108;0.0462291211470342;0.10502043508458;0;6.2458906039249;D12;5-50%;calib;5-50%;NA;50%;plate1;V5;NA;NA;0.522269212795579
plate1#D15;78.47;85.22;0;0;0;0;5.83026464921254;D15;G6-N01;NA;N01;6;NA;plate1;V5;DW;1;0.07148395609364
plate1#D20;76.89;84.4;1;1;NA;0;7.05048395172332;D20;5-100%;calib;5-100%;NA;100%;plate1;V5;NA;NA;NA
plate1#D22;76.77;84.07;1;1;1;0;7.07661554378943;D22;5-100%;calib;5-100%;NA;100%;plate1;V5;NA;NA;1.00001390472069
plate1#D24;78.59;85.69;0.101443421030469;0.016340984755513;0.0480274574572645;0;6.50543346761604;D24;G3-N05;NA;N05;3;NA;plate1;V5;RA;5&6;0.332606199065871
plate1#D3;77.44;85.22;0.132247271920978;0.0202654246366662;0.0633209382908888;0;8.12364710575541;D3;G3-Z02;NA;Z02;3;NA;plate1;V5;DW;2;0.397940898684516
plate1#D5;78.53;85.22;0;0;0;0;8.13650090584641;D5;G1-Z03;NA;Z03;1;NA;plate1;V5;VFP;3;0.07148395609364
plate1#D6;78.62;85.25;0;0;0;0;7.28452747176172;D6;1;NA;1;0;NA;plate1;V5;DW;1;0.07148395609364
plate1#E23;77.38;85.51;0.149993142706891;0.0314130768087621;0.0872093838916335;NA;6.45218077732276;E23;5-50%;calib;5-50%;NA;50%;plate1;V5;NA;NA;0.476629811381798
plate1#E24;77.5;85.57;0.178184202422524;0.0391235649407269;0.0998919485098703;0;6.82095073883765;E24;5-50%;calib;5-50%;NA;50%;plate1;V5;NA;NA;0.509707738093077
plate1#E5;78.96;85.22;0;0;0;0;7.83915603033147;E5;G3-N03;NA;N03;3;NA;plate1;V5;VFP;3;0.07148395609364
plate1#E7;80.09;85.22;0;0;0;0;7.54758998585597;E7;G3-N04;NA;N04;3;NA;plate1;V5;VFP;4;0.07148395609364
plate1#F16;78.01;85.22;0.120360257863777;0.00867768979676235;NA;0;6.38398999576318;F16;G6-Z04;NA;Z04;6;NA;plate1;V5;VFP;4;NA
plate1#F18;80.38;85.54;0;0;0;0;7.3154909604829;F18;3;NA;3;0;NA;plate1;V5;VFP;3;0.07148395609364
plate1#F20;78.99;85.63;0;0;0;0;7.26337217521488;F20;5-0%;calib;5-0%;NA;0%;plate1;V5;NA;NA;0.07148395609364
plate1#F21;80.46;85.45;0;0;0;0;6.63361766254396;F21;G6-Z01;NA;Z01;6;NA;plate1;V5;DW;1;0.07148395609364
